City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
101,Acapulco,16.86,-99.89,78.89,83,73,7.54,MX,light rain,2020-08-24 06:19:46
102,Saldanha,-33.01,17.94,56.8,82,94,10.76,ZA,overcast clouds,2020-08-24 06:16:42
103,Krasnyy Chikoy,50.36,108.75,57.88,81,98,2.93,RU,light rain,2020-08-24 06:19:47
104,Rawson,-43.3,-65.1,51.6,50,100,7.16,AR,overcast clouds,2020-08-24 06:19:47
105,Ueckermunde,53.74,14.04,63.0,97,25,1.01,DE,scattered clouds,2020-08-24 06:19:47
106,Chuy,-33.7,-53.46,53.82,93,0,10.6,UY,clear sky,2020-08-24 06:19:48
107,Clearfield,41.13,-78.75,69.8,83,40,3.44,US,scattered clouds,2020-08-24 06:19:48
108,Bredasdorp,-34.53,20.04,55.4,93,100,3.36,ZA,overcast clouds,2020-08-24 06:19:48
109,Bethel,41.37,-73.41,71.01,100,20,0.54,US,few clouds,2020-08-24 06:19:49
110,Hollola,61.05,25.43,61.0,97,62,6.29,FI,broken clouds,2020-08-24 06:19:53
111,Iqaluit,63.75,-68.51,39.2,93,90,3.36,CA,overcast clouds,2020-08-24 06:19:53
112,Azle,32.9,-97.55,84.2,45,1,5.82,US,clear sky,2020-08-24 06:19:54
113,Cherskiy,68.75,161.3,39.22,93,100,6.51,RU,light rain,2020-08-24 06:16:20
114,Hamilton,39.18,-84.53,72.0,94,1,4.25,US,mist,2020-08-24 06:18:40
115,Kiunga,-6.12,141.29,83.34,73,74,1.39,PG,light rain,2020-08-24 06:19:55
116,Torquay,50.46,-3.51,62.01,96,87,11.14,GB,light rain,2020-08-24 06:19:55
117,Shenjiamen,29.96,122.3,84.6,74,0,14.32,CN,clear sky,2020-08-24 06:19:56
118,Manohar Thana,24.24,76.8,78.51,87,98,11.39,IN,overcast clouds,2020-08-24 06:19:56
119,Lebu,-37.62,-73.65,50.22,91,100,17.45,CL,light rain,2020-08-24 06:15:57
120,Bac Lieu,9.29,105.72,88.09,64,58,8.59,VN,light rain,2020-08-24 06:19:57
121,Felanitx,39.47,3.15,73.4,83,20,2.24,ES,few clouds,2020-08-24 06:19:57
122,Beloha,-25.17,45.05,74.75,52,0,8.03,MG,clear sky,2020-08-24 06:19:57
123,Hasaki,35.73,140.83,91.99,66,20,12.75,JP,few clouds,2020-08-24 06:19:58
124,Kaoma,-14.78,24.8,61.75,54,24,7.56,ZM,few clouds,2020-08-24 06:19:58
125,Khartoum,15.55,32.53,82.4,69,20,11.41,SD,few clouds,2020-08-24 06:17:15
