City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
499,Bubaque,GW,80.49,overcast clouds,11.28,-15.83,Casa Dora
501,Pundaguitan,PH,84.25,broken clouds,6.37,126.17,Leonardo Family Beach House 1
502,Komsomolskiy,UZ,93.2,clear sky,40.43,71.72,Ikathouse
505,Guhagar,IN,84.31,light rain,17.48,73.19,Hotel Seawinds
510,Sorong,ID,80.96,moderate rain,-0.88,131.25,The Waigo Hotel
512,Awbari,LY,76.51,clear sky,26.59,12.78,فندق أوباري
513,Tiarei,PF,78.8,few clouds,-17.53,-149.33,Le Rocher de Tahiti
517,Salamiyah,SY,80.64,clear sky,35.01,37.05,Gondolas Forum grandchildren and grandparents
520,Pamanukan,ID,90.5,broken clouds,-6.28,107.81,Paris Day Hotel Pamanukan
525,Katherine,AU,93.2,clear sky,-14.47,132.27,Pine Tree Motel
529,Samarai,PG,75.61,light rain,-10.62,150.67,Nuli Sapi
531,Shiyan,CN,88.0,overcast clouds,32.65,110.78,Karen International Hotel
538,Goderich,CA,75.99,clear sky,43.75,-81.72,Harmony Inn
540,Amboasary,MG,75.2,scattered clouds,-25.03,46.38,DISCOVERY AMBOASARY
543,Nago,JP,80.01,light rain,26.59,127.98,Hotel Yugaf Inn Okinawa
553,Umm Lajj,SA,91.04,clear sky,25.02,37.27,Moon light Furnished Units
555,Fare,PF,77.97,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
559,Mareeba,AU,78.01,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
560,Kupang,ID,93.2,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
568,Kampot,KH,89.6,scattered clouds,10.62,104.18,Champa Lodge
571,Matara,LK,87.21,broken clouds,5.95,80.54,Amaloh Boutique Resort
572,Kijang,KR,91.4,few clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
573,Port-Gentil,GA,77.0,overcast clouds,-0.72,8.78,Fengshui Residence
574,Marsh Harbour,BS,85.28,clear sky,26.54,-77.06,Abaco Beach Resort
579,Pandan,PH,88.95,scattered clouds,14.05,124.17,Bonifacio Lodge
582,Eyl,SO,85.3,broken clouds,7.98,49.82,Amiin Hotel
586,Ayagoz,KZ,80.67,overcast clouds,47.97,80.44,Gostinitsa Nur
588,Tecoanapa,MX,76.75,moderate rain,16.52,-98.75,Hotel Manglares
589,Ponnani,IN,86.0,broken clouds,10.77,75.93,Rouba Residency
594,Lefka,CY,87.8,clear sky,35.11,32.85,Direk Hotel
596,Grand Gaube,MU,75.0,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
597,Malpe,IN,82.4,scattered clouds,13.35,74.72,Hotel Sri Krishna Residency
600,Kudat,MY,87.8,few clouds,6.88,116.85,Dream Garden Hotel
605,Cockburn Town,TC,83.41,overcast clouds,21.46,-71.14,Osprey Beach Hotel
607,Katsuura,JP,91.99,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
608,Yulara,AU,87.8,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
609,Kirakira,SB,83.57,light rain,-10.45,161.92,SanBiz Lodge
613,Filotion,GR,79.0,clear sky,37.05,25.5,Chalki Residence Group
618,Santa Rosa,PH,91.0,overcast clouds,14.31,121.11,Amethyst Econotel
620,Karratha,AU,90.99,clear sky,-20.74,116.85,ibis Styles Karratha
621,Naze,JP,86.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
622,Burkburnett,US,75.0,clear sky,34.1,-98.57,Best Western Red River Inn
623,Roebourne,AU,92.95,clear sky,-20.78,117.13,Harding River Caravan Park
624,Zalantun,CN,76.26,broken clouds,48.0,122.72,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
625,Coahuayana,MX,78.33,light rain,18.73,-103.68,Hotel Los Arcos
626,Oistins,BB,77.0,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
630,Weligama,LK,86.47,broken clouds,5.97,80.42,Weligama Bay Resort
635,Yarada,IN,89.6,haze,17.65,83.27,"D-26/2, Dolphin Hill,"
636,Alice Springs,AU,86.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
643,Kati,ML,75.2,few clouds,12.74,-8.07,AUBERGE DIATIGUIYA
645,Idil,TR,84.2,clear sky,37.34,41.89,ÇAKIR APARTMANI
646,Muncar,ID,84.42,few clouds,-8.43,114.33,Zaky Homestay
647,Katobu,ID,87.96,few clouds,-4.94,122.53,La Ode Husein
650,Oussouye,SN,80.6,few clouds,12.48,-16.55,Auberge du Routard
654,Mucurapo,TT,77.0,few clouds,10.67,-61.53,Courtyard by Marriott Port of Spain
